home,fa-paw
web-development,fa-globe
iain-white,fa-user
project-management,fa-puzzle-piece
it,fa-desktop
people,fa-users
companies,fa-building
books,fa-book
languages,fa-file-code-o
About White Internet,fa-info-circle
Contact,fa-envelope-o
Privacy Policy,fa-file-text-o
Web Site Terms and Conditions of Use,fa-file-o
Page Not Found,fa-warning
Page Not Found (404),fa-warning
Search Results,fa-search
White Internet Site Map,fa-sitemap
Iain White,fa-user
Iain White\'s CV / Resume,fa-file-text-o
Seeking Work,fa-bolt
Work Information,fa-info-circle
Skills Matrix for Iain White,fa-list-ul
Programming Languages,fa-file-code-o
Computer Skills,fa-laptop
Examples of Work,fa-image
Case Studies,fa-lightbulb-o
Pragmatic Programmer,fa-star
Qualifications &amp; Training,fa-graduation-cap
Documents,fa-file-o
Press and Reviews about Iain White\'s work,fa-quote-right
Recommendations for Iain White\'s work,fa-comment-o
Project Management,fa-puzzle-piece
Web Development,fa-globe
Information Technology,fa-desktop
PHP,fa-file-code-o
HTML5,fa-html5
HTML 5,fa-html5
CSS-3,fa-css3
Wordpress,fa-wordpress
Drupal,fa-drupal
MySQL,fa-database
MongoDB,fa-database
MariaDB,fa-database
PostgreSQL,fa-database
SQLite,fa-database
RDBMS,fa-database
SQL,fa-database
Microsoft SQL Server,fa-database 
T-SQL,fa-database
WiFi,fa-wifi
Git,fa-code-fork
Admin,fa-dashboard
Google Maps,fa-map-marker
Ecommerce,fa-shopping-cart
Bash,fa-terminal
PDF,fa-file-pdf-o
